,zipcode,num_felony,num_violation,num_misdemeanor,most_freq_ofns_desc,most_freq_loc_occur,most_freq_prem_type,most_freq_susp_age_group,most_freq_susp_race,most_freq_susp_sex,most_freq_vic_age_group,most_freq_vic_race,most_freq_vic_sex,pop_est,num_total_crimes
0,10001,2918,734,3677,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,23072.0,7329
1,10002,2278,1024,4381,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,M,74993.0,7683
2,10003,1865,453,3066,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,54682.0,5384
3,10004,143,70,229,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,M,3028.0,442
4,10005,219,76,963,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,8831.0,1258
5,10006,161,42,485,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,3454.0,688
6,10007,353,122,1546,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,7023.0,2021
7,10009,1402,571,2354,PETIT LARCENY,INSIDE,RESIDENCE - PUBLIC HOUSING,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,F,57925.0,4327
8,10010,674,237,1075,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,M,33730.0,1986
9,10011,1657,501,2220,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,M,50472.0,4378
10,10012,1330,249,1697,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,23411.0,3276
11,10013,1184,279,1689,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,M,28709.0,3152
12,10014,1383,304,1665,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,30738.0,3352
13,10016,1276,441,1775,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,51057.0,3492
14,10017,794,287,1476,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,15801.0,2557
15,10018,1487,273,1693,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,M,9687.0,3453
16,10019,1604,674,2756,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,43703.0,5034
17,10021,519,175,1190,PETIT LARCENY,INSIDE,CHAIN STORE,25-44,BLACK,M,UNKNOWN,UNKNOWN,D,46215.0,1884
18,10022,1485,301,1412,GRAND LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,31125.0,3198
19,10023,892,327,1339,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,62435.0,2558
20,10024,863,279,1089,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,59001.0,2231
21,10025,1374,675,2745,PETIT LARCENY,INSIDE,STREET,25-44,BLACK,M,UNKNOWN,UNKNOWN,F,92805.0,4794
22,10026,986,376,1393,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,39363.0,2755
23,10027,2105,937,3113,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,F,64548.0,6155
24,10028,524,163,840,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,47793.0,1527
25,10029,2048,1282,3419,HARRASSMENT 2,INSIDE,RESIDENCE - PUBLIC HOUSING,UNKNOWN,BLACK,M,25-44,BLACK,F,79597.0,6749
26,10030,885,495,1412,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,29882.0,2792
27,10031,1235,719,2541,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,M,60254.0,4495
28,10032,1059,559,1844,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,M,64264.0,3462
29,10033,1158,485,2399,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,59607.0,4042
30,10034,861,364,1041,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,M,42910.0,2266
31,10035,2015,803,3329,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,M,35743.0,6147
32,10036,2268,741,3006,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,M,27428.0,6015
33,10037,469,245,620,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,21139.0,1334
34,10038,367,208,1006,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,22800.0,1581
35,10039,589,430,809,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,27726.0,1828
36,10040,515,288,824,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,F,44571.0,1627
37,10044,53,42,87,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,UNKNOWN,F,11682.0,182
38,10065,640,188,653,GRAND LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,28109.0,1481
39,10069,77,51,58,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,WHITE,M,5085.0,186
40,10075,293,91,548,PETIT LARCENY,INSIDE,DRUG STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,23140.0,932
41,10128,881,296,1858,PETIT LARCENY,INSIDE,CHAIN STORE,25-44,BLACK,M,UNKNOWN,UNKNOWN,D,59256.0,3035
42,10280,83,31,134,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,9384.0,248
43,10282,45,16,89,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,WHITE,M,UNKNOWN,UNKNOWN,D,5593.0,150
44,10301,875,664,1712,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,38733.0,3251
45,10302,343,290,804,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,UNKNOWN,F,18204.0,1437
46,10303,497,442,952,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,25-44,BLACK,M,25-44,BLACK,F,25947.0,1891
47,10304,820,704,1528,HARRASSMENT 2,INSIDE,STREET,25-44,BLACK,M,25-44,BLACK,F,41064.0,3052
48,10305,478,377,959,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,42298.0,1814
49,10306,581,460,1313,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,53142.0,2354
50,10307,128,86,215,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,WHITE,M,45-64,WHITE,F,15232.0,429
51,10308,161,179,307,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,WHITE,M,25-44,WHITE,F,30186.0,647
52,10309,328,234,608,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,WHITE,M,25-44,WHITE,F,33531.0,1170
53,10310,383,308,701,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,23262.0,1392
54,10312,380,298,716,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,WHITE,M,25-44,WHITE,F,61741.0,1394
