,zipcode,facility_count
0,10001,1
1,10002,1
2,10003,2
3,10004,1
4,10009,1
5,10010,3
6,10011,1
7,10013,3
8,10014,1
9,10018,1
10,10019,1
11,10022,1
12,10023,1
13,10024,2
14,10025,1
15,10027,2
16,10029,1
17,10030,1
18,10031,1
19,10032,1
20,10033,1
21,10035,3
22,10036,3
23,10038,1
24,10039,1
25,10065,1
26,10301,1
27,10306,1
28,10451,2
29,10452,1
30,10454,1
31,10455,1
32,10457,3
33,10458,1
34,10459,1
35,10460,1
36,10461,1
37,10462,1
38,10463,1
39,10465,1
40,10466,1
41,10467,1
42,10473,1
43,11101,2
44,11103,1
45,11201,1
46,11207,1
47,11208,1
48,11210,1
49,11211,1
50,11212,1
51,11213,1
52,11214,1
53,11217,1
54,11219,1
55,11220,1
56,11221,2
57,11222,1
58,11223,1
59,11224,2
60,11225,1
61,11226,1
62,11230,1
63,11231,1
64,11232,2
65,11236,1
66,11237,1
67,11238,1
68,11354,1
69,11361,2
70,11365,1
71,11369,1
72,11373,1
73,11375,1
74,11385,1
75,11417,1
76,11418,1
77,11422,1
78,11428,1
79,11432,1
80,11434,1
81,11693,1
82,11694,1
