,zipcode,facility_count
0,10001,8
1,10002,16
2,10003,5
3,10004,3
4,10005,1
5,10007,1
6,10009,6
7,10010,2
8,10011,5
9,10012,2
10,10013,4
11,10014,7
12,10016,3
13,10017,7
14,10019,7
15,10021,1
16,10022,9
17,10023,6
18,10024,12
19,10025,10
20,10026,2
21,10027,8
22,10029,4
23,10030,4
24,10031,8
25,10032,5
26,10033,6
27,10034,9
28,10035,10
29,10036,4
30,10037,3
31,10038,5
32,10039,5
33,10040,2
34,10044,1
35,10065,2
36,10069,1
37,10075,3
38,10128,6
39,10280,1
40,10282,2
41,10301,9
42,10302,3
43,10303,2
44,10304,5
45,10305,11
46,10306,9
47,10307,2
48,10308,2
49,10309,4
50,10310,5
51,10312,7
52,10314,6
53,10451,12
54,10452,4
55,10453,4
56,10454,6
57,10455,7
58,10456,8
59,10457,5
60,10458,10
61,10459,7
62,10460,5
63,10461,7
64,10462,10
65,10463,8
66,10464,9
67,10465,6
68,10466,5
69,10467,16
70,10468,4
71,10469,7
72,10470,4
73,10471,10
74,10472,4
75,10473,8
76,10474,2
77,10475,3
78,11004,2
79,11101,8
80,11102,6
81,11103,2
82,11104,1
83,11105,3
84,11106,4
85,11109,1
86,11201,16
87,11203,5
88,11204,4
89,11205,8
90,11206,11
91,11207,12
92,11208,9
93,11209,8
94,11210,3
95,11211,13
96,11212,10
97,11213,5
98,11214,10
99,11215,3
100,11216,7
101,11217,6
102,11218,8
103,11219,3
104,11220,6
105,11221,9
106,11222,7
107,11223,4
108,11224,17
109,11225,6
110,11226,3
111,11228,4
112,11229,10
113,11230,4
114,11231,6
115,11232,1
116,11233,10
117,11234,14
118,11235,8
119,11236,15
120,11237,2
121,11238,9
122,11354,7
123,11355,7
124,11356,4
125,11357,5
126,11358,3
127,11360,8
128,11361,5
129,11362,8
130,11363,2
131,11364,7
132,11365,11
133,11366,6
134,11367,9
135,11368,16
136,11369,5
137,11370,1
138,11372,4
139,11373,7
140,11374,5
141,11375,8
142,11377,6
143,11378,6
144,11379,3
145,11385,7
146,11411,5
147,11412,4
148,11413,6
149,11414,3
150,11416,3
151,11417,3
152,11418,3
153,11419,2
154,11420,2
155,11421,8
156,11422,1
157,11423,4
158,11426,4
159,11427,4
160,11428,1
161,11429,1
162,11432,4
163,11433,4
164,11434,13
165,11435,4
166,11436,1
167,11691,9
168,11692,4
169,11693,4
170,11694,6
171,99999,41
